date_local,temperature_avg_c,temperature_high_c,temperature_low_c,humidity_avg_pct,pressure_avg_hpa,wind_avg_kn,peak_gust_kn,rain_total_mm,solar_peak_w_m2,solar_energy_kwh_m2,observation_count
2026-09-06,15.84,15.89,15.78,89.0,1011.2,2.26,3.91,0.0,0.0,0.0,2
2026-09-07,16.89,19.11,12.72,88.6,1013.9,3.53,8.95,0.0,339.2,,7
2026-09-08,15.82,20.89,9.5,86.1,1016.9,2.33,7.99,0.0,538.8,,7
2026-09-09,16.6,20.39,10.5,86.7,1016.0,2.11,8.95,0.0,507.6,,7
2026-09-10,15.8,17.28,13.22,86.1,1010.7,2.98,7.99,0.0,396.8,,7
2026-09-11,14.89,17.89,11.11,87.8,1008.3,0.87,3.91,0.0,428.1,,8
2026-09-12,13.9,15.61,11.89,94.5,1005.6,0.75,5.04,11.68,96.9,,8
2026-09-13,15.32,17.11,13.11,94.9,1008.9,1.6,7.04,14.99,212.5,,8
2026-09-14,13.55,18.5,11.22,91.0,1012.3,0.14,6.0,0.0,463.0,0.0,60
2026-09-15,14.48,19.22,10.89,90.4,1010.7,0.91,10.86,0.0,730.9,2.194,293
2026-09-16,14.76,22.61,8.28,87.8,1012.7,1.0,8.95,0.0,551.1,2.49,288
2026-09-17,15.13,21.89,9.11,90.0,1010.6,1.57,8.95,0.0,545.8,2.548,288
2026-09-18,15.87,17.28,14.72,85.1,1015.1,0.75,6.0,0.0,204.5,1.113,288
2026-09-19,14.69,18.22,9.72,86.0,1013.9,1.19,9.91,0.0,537.7,2.528,288
2026-09-20,12.15,18.61,7.22,92.1,1011.6,0.77,11.82,0.0,553.2,2.104,288
2026-09-21,10.75,17.11,6.39,96.2,1010.1,1.39,10.86,0.0,596.4,1.574,184
