date,high_c,low_c,rain_mm,gust_kn
2020-01-15,6.39,0.22,8.38,
2020-01-16,7,0.11,10.16,
2020-01-17,4,-1,12.19,
2020-01-18,8.39,4,31.5,
2020-01-19,11.39,7.39,0.25,
2020-01-20,9.89,7.28,2.79,
2020-01-21,9.22,6.22,27.94,
2020-01-22,10.72,6.28,107.7,
2020-01-23,11.22,9.89,151.64,
2020-01-24,11.11,9,160.53,
2020-01-25,10.11,7.89,173.23,
2020-01-26,11.61,8.22,12.7,
2020-01-27,10.39,6.89,56.9,
2020-01-28,11.5,7.61,67.56,
2020-01-29,10.28,3.89,107.7,
2020-01-30,10.22,3.89,150.88,
2020-01-31,11.39,10,187.45,
2020-02-01,10.78,1.11,209.3,
2020-02-02,7,-0.22,12.45,
2020-02-03,8.11,-1.5,12.7,
2020-02-04,8.78,-1.39,53.09,
2020-02-05,9.5,8.78,77.72,
2020-02-06,9.89,8.89,108.2,
2020-02-07,9.78,7.39,121.67,
2020-02-08,9.89,2.11,122.94,
2020-02-09,10.22,0.61,0,
2020-02-10,11.61,0.78,0,
2020-02-11,8.72,1.22,0.76,
2020-02-12,8.78,2.5,0.76,
2020-02-13,9.39,3.39,8.64,
2020-02-14,8.61,4,15.49,
2020-02-15,9.11,3.89,35.05,
2020-02-16,8.72,1.78,6.6,
2020-02-17,10.28,-0.39,8.64,
2020-02-18,11.78,-2.22,8.64,
2020-02-19,12.78,0.61,8.64,
2020-02-20,15.72,0.39,8.64,
2020-02-21,8.5,-1.39,8.64,
2020-02-22,10,3.22,14.22,
2020-02-23,8.78,5,13.46,
2020-02-24,8.78,0.72,13.46,
2020-02-25,11.89,0.22,13.46,
2020-02-26,10,5.22,13.46,
2020-02-27,8.28,4.5,13.46,
2020-02-28,8.61,5.22,21.08,
2020-02-29,10,0.22,24.89,
2020-03-01,8.39,-1.72,0,23.7
2020-03-02,8.78,3.39,15.24,14.9
2020-03-03,8.5,6.89,10.16,19.8
2020-03-04,11.61,3.39,0,11.8
2020-03-05,9.61,3,13.21,14.9
2020-03-06,8.61,1.22,0.51,8
2020-03-07,7.39,1.22,6.35,9
2020-03-08,11,-0.72,1.02,9.9
2020-03-09,13.89,-0.78,0,9
2020-03-10,8.89,-0.5,2.79,11.8
2020-03-11,10.39,3.11,2.03,13.8
2020-03-12,10.5,-0.61,0,13.8
2020-03-13,7,0.72,3.56,3.9
2020-03-14,8.11,1.28,0.25,9
2020-03-15,12.11,-1,0,7
2020-03-16,19,-2.22,0,13.8
2020-03-17,10.39,-2.39,0,10.9
2020-03-18,10.72,0.39,0,10.9
2020-03-19,12.39,-1.5,0,9
2020-03-20,13.22,-0.5,0,13.8
2020-03-21,11,2.39,0,10.9
2020-03-22,7.78,1.28,0,10.9
2020-03-23,9.78,4.61,4.06,17.9
2020-03-24,8.39,3,11.94,9
2020-03-25,9.89,0.39,0,10.9
2020-03-26,8.39,1,0,11.8
2020-03-27,9.22,5.89,10.16,9.9
2020-03-28,9.89,7.72,24.38,14.9
2020-03-29,11.22,7.39,8.64,17.9
2020-03-30,9.28,4.28,9.4,38.7
2020-03-31,9.5,2,8.38,22.8
2020-04-01,11.78,1.89,8.13,12.9
2020-04-02,8.61,2.39,6.86,15.9
2020-04-03,8.39,1.89,0.25,24.9
2020-04-04,11.78,1.39,0.25,5
2020-04-05,14.89,5.89,0,11.8
2020-04-06,12.78,0.61,0,21.8
2020-04-07,11.78,2.78,0,14.9
2020-04-08,16.22,0.22,0,12.9
2020-04-09,14.28,1.72,0,12.9
2020-04-10,11.11,4.61,0,15.9
2020-04-11,12.72,4.39,0,11.8
2020-04-12,16,0.61,0,10.9
2020-04-13,16.72,-1.5,0,13.8
2020-04-14,12.5,6.72,0,20.8
2020-04-15,18.22,5.89,0.51,14.9
2020-04-16,21.28,3,0,13.8
2020-04-17,14.89,1.61,0,12.9
2020-04-18,12.72,6.72,0.51,12.9
2020-04-19,13.72,5.61,0,10.9
2020-04-20,13.28,2.89,0,12.9
2020-04-21,13,8.5,0,11.8
2020-04-22,11.39,8.39,14.99,19.8
2020-04-23,12.5,8.61,0,15.9
2020-04-24,14.28,7.39,5.08,8
2020-04-25,14,10.5,17.78,27.8
2020-04-26,14.22,6.39,10.67,13.8
2020-04-27,13.61,9.22,6.35,15.9
2020-04-28,14.39,7.61,0,7
2020-04-29,17.5,10.39,3.05,15.9
2020-04-30,13.28,8.11,3.05,15.9
2020-05-01,16.39,4.39,1.78,13.8
2020-05-02,12.39,8,14.73,21.8
2020-05-03,13.61,5.72,3.05,18.9
2020-05-05,21.39,5.61,0.76,15.9
2020-05-06,13.22,6,5.33,15.9
2020-05-07,23.11,3.72,0,12.9
2020-05-08,28.61,7,0,8
2020-05-09,31.61,14.39,0,7
