date,average_solar_radiation_w_m2,solar_energy_kwh_m2,source
2020-01-15,16.8,0.403,monthly workbook
2020-01-16,21.5,0.516,monthly workbook
2020-01-17,14.2,0.341,monthly workbook
2020-01-18,13.8,0.331,monthly workbook
2020-01-19,11.8,0.283,monthly workbook
2020-01-20,16.6,0.398,monthly workbook
2020-01-21,17.9,0.430,monthly workbook
2020-01-22,15.1,0.362,monthly workbook
2020-01-23,15.3,0.367,monthly workbook
2020-01-24,21.1,0.506,monthly workbook
2020-01-25,12.9,0.310,monthly workbook
2020-01-26,13.5,0.324,monthly workbook
2020-01-27,15.0,0.360,monthly workbook
2020-01-28,21.2,0.509,monthly workbook
2020-01-29,15.1,0.362,monthly workbook
2020-01-30,14.0,0.336,monthly workbook
2020-01-31,16.0,0.384,monthly workbook
