month,monthly_rain_mm,workbook_delta_mm
2020-01,392.176,43.361
2020-02,218.44,1.234
2020-03,132.588,-212.126
2020-04,77.47,-62.448
2020-05,90.678,1.923
2020-06,96.774,16.51
2020-07,12.954,-2.649
2020-08,41.91,16.945
2020-09,122.682,29.464
2020-10,176.276,-32.046
2020-11,417.322,18.999
2020-12,346.202,-19.473
2021-01,551.688,202.873
2021-02,266.7,49.494
2021-03,450.088,105.374
2021-04,51.054,-88.864
2021-05,50.8,-37.955
2021-06,91.694,11.43
2021-07,3.556,-12.047
2021-08,25.146,0.181
2021-09,186.944,93.726
2021-10,288.544,80.222
2021-11,592.836,194.513
2021-12,277.876,-87.799
2022-01,482.6,133.785
2022-02,188.976,-28.23
2022-03,406.4,61.686
2022-04,226.06,86.142
2022-05,226.06,137.305
2022-06,158.496,78.232
2022-07,3.302,-12.301
2022-08,7.874,-17.091
2022-09,22.098,-71.12
2022-10,145.542,-62.78
2022-11,271.018,-127.305
2022-12,370.586,4.911
2023-01,280.924,-67.891
2023-02,174.752,-42.454
2023-03,420.878,76.164
2023-04,237.998,98.08
2023-05,16.256,-72.499
2023-06,11.684,-68.58
2023-07,27.94,12.337
2023-08,13.208,-11.757
2023-09,81.534,-11.684
2023-10,198.628,-9.694
2023-11,317.754,-80.569
2023-12,345.44,-20.235
2024-01,312.42,-36.395
2024-02,169.164,-48.042
2024-03,281.178,-63.536
2024-04,172.72,32.802
2024-05,109.982,21.227
2024-06,117.094,36.83
2024-07,30.226,14.623
2024-08,13.208,-11.757
2024-09,59.944,-33.274
2024-10,248.666,40.344
2024-11,392.684,-5.639
2024-12,400.812,35.137
2025-01,129.794,-219.021
2025-02,256.54,39.334
2025-03,289.052,-55.662
2025-04,103.124,-36.794
2025-05,67.31,-21.445
2025-06,15.494,-64.77
2025-07,6.858,-8.745
2025-08,63.246,38.281
2025-09,86.106,-7.112
2025-10,192.278,-16.044
2025-11,287.274,-111.049
2025-12,453.136,87.461
2026-01,292.1,-56.715
2026-02,245.872,28.666
2026-03,432.816,88.102
2026-04,110.998,-28.92
2026-05,60.198,-28.557
2026-06,70.612,-9.652
2026-07,24.384,8.781
2026-08,10.16,-14.805
