month,average_daily_kwh_m2,days_observed,complete_month
2020-01,1.549,17,false
2020-02,1.243,29,true
2020-03,1.919,31,true
2020-04,3.357,30,true
2020-05,3.829,30,true
2020-06,4.123,30,true
2020-07,4.436,31,true
2020-08,4.346,31,true
2020-09,2.133,30,true
2020-10,1.229,31,true
2020-11,0.540,28,true
2020-12,0.384,30,true
2021-01,0.475,28,true
2021-02,0.832,28,true
2021-03,2.062,31,true
2021-04,3.482,30,true
2021-05,3.715,31,true
2021-06,4.590,30,true
2021-07,4.255,30,true
2021-08,3.409,31,true
2021-09,2.242,27,true
2021-10,1.205,31,true
2021-11,0.458,30,true
2021-12,0.381,30,true
2022-01,0.533,31,true
2022-02,0.999,28,true
2022-03,1.669,31,true
2022-04,3.008,30,true
2022-05,3.251,31,true
2022-06,3.650,30,true
2022-07,4.391,31,true
2022-08,3.517,31,true
2022-09,2.352,30,true
2022-10,1.203,30,true
2022-11,0.604,30,true
2022-12,0.413,31,true
2023-01,0.480,31,true
2023-02,0.968,28,true
2023-03,1.781,31,true
2023-04,2.747,30,true
2023-05,4.223,31,true
2023-06,4.514,30,true
2023-07,4.893,31,true
2023-08,4.123,31,true
2023-09,2.415,30,true
2023-10,1.056,31,true
2023-11,0.552,30,true
2023-12,0.391,31,true
2024-01,0.415,31,true
2024-02,0.757,29,true
2024-03,1.550,31,true
2024-04,2.970,30,true
2024-05,3.595,31,true
2024-06,3.810,30,true
2024-07,4.149,7,false
2024-08,2.491,25,true
2024-09,2.006,30,true
2024-10,1.169,29,true
2024-11,0.617,28,true
2024-12,0.394,31,true
2025-01,0.583,31,true
2025-02,0.823,28,true
2025-03,1.430,31,true
2025-04,3.081,29,true
2025-05,3.589,31,true
2025-06,4.232,30,true
2025-07,4.151,31,true
2025-08,2.991,31,true
2025-09,2.193,30,true
2025-10,1.108,31,true
2025-11,0.555,30,true
2025-12,0.648,31,true
2026-01,0.450,31,true
2026-02,0.873,28,true
2026-03,1.486,31,true
2026-04,2.837,30,true
2026-05,3.550,31,true
2026-06,4.089,30,true
2026-07,3.866,31,true
2026-08,3.106,31,true
2026-09,2.235,14,false
