month,max_c,avg_high_c,min_c,avg_low_c
2007-01,12.2,7.9,-5.6,0.7
2007-02,13.9,10.1,-2.2,3.6
2007-03,18.9,11.2,0,4.5
2007-04,23.3,13.2,-0.6,4.8
2007-05,30,16.1,2.8,6.7
2007-06,28.3,16,,8.8
2007-07,36.7,11.7,,5.4
2007-08,29.4,20.7,8.3,12.2
2007-09,32.8,18.6,4.4,10.1
2007-10,23.3,14.8,0.6,6
2007-11,14.4,10.6,-1.1,3.2
2007-12,13.3,7.8,-1.7,2
2008-01,10,6.2,,0.1
2008-02,16.1,9.8,-1.1,2.6
2008-03,14.4,9.4,-0.6,2.3
2008-04,25.6,10.6,,1.7
2008-05,33.3,15,1.7,7.8
2008-06,30.6,15.6,6.1,9.1
2008-07,25.6,18.8,7.2,10.7
2008-08,30.6,19.7,7.8,12.2
2008-09,29.4,20.1,4.4,9.9
2008-10,22.2,15.1,0.6,5.9
2008-11,16.7,12.1,0.6,6.2
2008-12,12.8,6.6,-7.2,0.7
2009-01,13.9,7.4,,0.8
2009-02,15.6,9.6,-2.2,0.8
2009-03,13.9,8.8,,1.1
2009-04,22.2,12.7,-1.1,3.6
2009-05,24.4,14.1,,5.6
2009-06,32.2,18.2,,10
2009-07,35,20.5,7.8,12.1
2009-08,34.4,19.9,9.4,12.5
2009-09,32.2,21.5,5,10.7
2009-10,20.6,15,2.2,6.4
2009-11,16.7,11.1,-0.6,4.6
2009-12,11.7,6.8,-10,-0.8
2010-01,13.9,10.4,1.7,5.3
2010-02,16.1,11.7,-1.1,4.2
2010-03,19.4,13.1,-0.6,3.2
2010-04,20,12.7,1.7,4.9
2010-05,19.4,14.2,0.6,6.6
2010-06,22.8,16.4,6.7,9.8
2010-07,34.4,17.7,8.3,11
2010-08,35.6,18.9,7.8,11.5
2010-09,26.7,18.6,8.3,11.9
2010-10,25,16.5,2.2,7.2
2010-11,21.1,9.4,-6.7,3.3
2010-12,12.8,8.8,-4.4,3.7
2011-01,12.8,8.4,-4.4,2.8
2011-02,11.7,8.1,-6.1,0.4
2011-03,16.7,10.6,-1.7,3.6
2011-04,17.2,11.1,-0.6,2.8
2011-05,19.4,14.6,1.1,6.2
2011-06,26.7,17.4,6.7,10.1
2011-07,23.9,19.1,7.2,11.4
2011-08,28.9,20.2,7.8,11.8
2011-09,29.4,20.8,6.7,10.9
2011-10,22.2,15.5,1.7,7.3
2011-11,17.8,10.4,-2.8,1.9
2011-12,11.7,7.9,-2.8,1.3
2012-01,11.7,7.6,-2.8,1
2012-02,15,9.7,-2.8,3.3
2012-03,18.9,9.8,-2.2,2.3
2012-04,22.8,13.6,-0.6,5.3
2012-05,30,16.2,2.2,6.8
2012-06,23.3,16.5,5.6,9.2
2012-07,22.8,18.9,7.8,11.8
2012-08,36.1,21.2,6.7,12.4
2012-09,32.8,20.7,5.6,9.2
2012-10,27.2,15.4,3.3,7.3
2012-11,15,11.5,-0.6,5.2
2012-12,12.2,7.8,0,3.3
2013-01,10.6,6.6,-3.9,0.8
2013-02,13.3,8.9,-1.1,3.4
2013-03,22.8,11,-0.6,4.1
2013-04,22.8,12.9,0,5.2
2013-05,30.6,16,0.6,8.8
2013-06,25.6,18.7,7.8,11.1
2013-07,28.3,19.6,9.4,12.3
2013-08,24.4,20.1,10,12.7
2013-09,28.9,20.1,6.7,12.2
2013-10,23.3,16.6,0.6,5.7
2013-11,16.7,10.2,,3.6
2013-12,11.7,6.1,-8.9,-0.1
2014-01,15.6,9.4,-1.1,3.3
2014-02,13.3,8,-6.1,1.9
2014-03,20.6,12.5,-0.6,5.1
2014-04,25,13,,4.8
2014-05,31.7,18.7,5,9.7
2014-06,22.2,17.8,7.2,11.5
2014-07,33.9,20.4,10,12.6
2014-08,32.2,21.1,11.1,13.2
2014-09,33.3,22.4,8.9,11.8
2014-10,26.7,18.3,6.1,10.9
2014-11,15.6,11,,2.9
2014-12,15.6,10,-3.3,4.2
2015-01,16.7,11,-2.8,3.8
2015-02,17.8,13.2,0,5.9
2015-03,20.6,13.4,,3.6
2015-04,26.1,14.1,0.6,4.2
2015-05,23.9,15.2,4.4,9.1
2015-06,25.6,19.2,8.3,11.3
2015-07,32.8,21.8,11.1,13.7
2015-08,28.9,22.3,9.4,13.2
2015-09,28.3,19.4,5,10.2
2015-10,26.7,17.7,6.7,9.4
2015-11,16.1,11.3,-2.8,3.1
2015-12,13.9,8.7,-2.2,3.4
2016-01,13.3,9.4,-2.8,3.4
2016-02,22.2,12.2,0.6,5.4
2016-03,21.7,12.6,0.6,4.9
2016-04,29.4,16.9,3.3,7.3
2016-05,27.8,17.8,6.1,9.2
2016-06,30.6,19.2,6.1,10.8
2016-07,23.9,19.9,11.1,13.2
2016-08,36.7,21.8,10.6,12.8
2016-09,26.1,20,6.1,10.5
2016-10,18.3,15.3,2.8,8.8
2016-11,18.9,12.9,2.8,7.4
2016-12,11.7,6.7,-3.9,0.6
2017-01,12.2,6.9,-5.6,0.2
2017-02,14.4,8.8,-2.2,1.6
2017-03,13.9,9.7,0,3.9
2017-04,19.4,13.1,1.1,5.2
2017-05,30,15.8,3.3,8.2
2017-06,35,19.2,6.7,11.1
2017-07,23.3,20.1,8.9,11.6
2017-08,35,22.2,7.2,12.4
2017-09,33.9,21.4,7.2,11.5
2017-10,22.8,16.8,2.2,6
2017-11,16.1,10.7,0,4.7
2017-12,13.3,-0.9,,-5.4
2018-01,15.6,9.8,,3.8
2018-02,12.2,8.4,-4.4,1.4
2018-03,22.2,11.6,-2.2,2.2
2018-04,27.2,13.7,0.6,5.3
2018-05,28.9,16.8,4.4,9.2
2018-06,28.9,18.6,6.1,11.1
2018-07,27.8,20.1,9.4,12.1
2018-08,32.2,20.3,8.3,12.6
2018-09,28.3,19.5,5.6,10.3
2018-10,25,16.2,1.1,7.1
2018-11,15.6,12.2,0.6,5.1
2018-12,12.2,,-1.7,
2019-01,14.4,9.9,-0.6,2.8
2019-02,11.7,6.6,-5,-0.7
2019-03,26.7,13.7,-3.3,1.9
2019-04,20.6,14.1,1.7,5.9
2019-05,30,15.7,2.2,8.4
2019-06,32.8,18.4,6.7,10.9
2019-07,23.3,18.2,7.8,13.3
2019-08,31.1,19.6,8.9,16.7
2019-09,24.4,10.3,2.8,8.8
2019-10,19.4,13,-0.6,3.1
2019-11,16.7,4.5,-3.3,-1.8
2019-12,11.7,8.4,-2.8,4.2
2020-01,11.6,9.7,-1,5.8
2020-02,15.7,9.8,-2.2,2.2
2020-03,19,10.2,-2.4,1.7
2020-04,21.3,13.7,-1.5,4.8
2020-05,31.6,17.3,3.7,8.4
2020-06,23.7,17.3,4.4,9.9
2020-07,29.8,19.1,7.4,10.7
2020-08,31.1,20.5,6.6,11.4
2020-09,34.5,21.6,9,12.4
2020-10,20.1,15.4,-0.9,7.5
2020-11,18.4,11.3,-2.3,4.5
2020-12,16.4,9.9,-0.4,4.5
2021-01,12.4,9.2,-1.6,3.2
2021-02,9.7,7.7,-2.7,2.5
2021-03,20.9,10.7,-2.5,1.9
2021-04,31.5,14.6,-2.1,3.9
2021-05,25.6,15.1,1.1,6.7
2021-06,41.9,20.4,4.6,11.1
2021-07,24.2,18.6,8.6,11.8
2021-08,30.3,19.3,7,11.8
2021-09,29.4,18.9,4.9,9.7
2021-10,17.4,14.2,0.9,6.9
2021-11,13.4,11.3,0.9,6
2021-12,11.5,6.5,-6.9,1.3
2022-01,14.2,9.6,-3.2,2.6
2022-02,20.5,10,-3.5,2.2
2022-03,17.9,10.7,-2.3,4.1
2022-04,24,11.6,-0.7,3.4
2022-05,19.9,13.5,3,6.3
2022-06,35.8,17.8,5.7,10.3
