timestamp_utc,timestamp_local,station_name,temperature_c,feels_like_c,dew_point_c,humidity_pct,pressure_relative_hpa,pressure_absolute_hpa,wind_speed_kn,wind_gust_kn,max_daily_gust_kn,wind_direction_deg,wind_direction_compass,rain_rate_mm_hr,rain_daily_mm,rain_event_mm,rain_monthly_mm,rain_total_mm,solar_radiation_w_m2,uv_index
2026-09-07T04:00:00Z,2026-09-06T21:00:00-07:00,Brambley,15.89,15.89,14.08,89.0,1011.14,1018.63,2.17,2.95,11.82,248.0,WSW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
2026-09-07T04:19:00Z,2026-09-06T21:19:00-07:00,Brambley,15.78,15.78,13.97,89.0,1011.31,1018.83,2.35,3.91,11.82,232.0,SW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
2026-09-07T08:39:00Z,2026-09-07T01:39:00-07:00,Brambley,15.72,15.72,14.59,93.0,1012.02,1019.54,4.87,6.0,7.99,246.0,WSW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
2026-09-07T14:25:00Z,2026-09-07T07:25:00-07:00,Brambley,15.28,15.28,14.48,95.0,1013.14,1020.62,0.0,0.0,7.99,264.0,W,0.0,0.0,0.0,29.21,5999.99,28.52,0.0
2026-09-07T18:46:00Z,2026-09-07T11:46:00-07:00,Brambley,17.5,17.5,16.18,92.0,1014.53,1022.01,3.3,5.04,7.99,237.0,WSW,0.0,0.0,0.0,29.21,5999.99,206.31,2.0
2026-09-07T21:47:00Z,2026-09-07T14:47:00-07:00,Brambley,19.0,19.0,16.6,86.0,1014.32,1021.84,7.73,8.95,9.91,238.0,WSW,0.0,0.0,0.0,29.21,5999.99,339.16,3.0
2026-09-07T23:47:00Z,2026-09-07T16:47:00-07:00,Brambley,19.11,19.11,15.58,80.0,1014.12,1021.64,5.04,7.04,9.91,227.0,SW,0.0,0.0,0.0,29.21,5999.99,208.99,2.0
2026-09-08T01:26:00Z,2026-09-07T18:26:00-07:00,Brambley,18.89,18.89,14.97,78.0,1014.02,1021.54,3.74,6.0,9.91,234.0,SW,0.0,0.0,0.0,29.21,5999.99,27.6,0.0
2026-09-08T06:06:00Z,2026-09-07T23:06:00-07:00,Brambley,12.72,12.72,12.1,96.0,1015.44,1022.93,0.0,0.0,9.91,251.0,WSW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
2026-09-08T11:08:00Z,2026-09-08T04:08:00-07:00,Brambley,10.28,10.28,10.13,99.0,1015.61,1023.13,0.0,0.0,0.0,251.0,WSW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
2026-09-08T15:03:00Z,2026-09-08T08:03:00-07:00,Brambley,9.5,9.5,9.35,99.0,1017.34,1024.82,0.0,0.0,0.0,251.0,WSW,0.0,0.0,0.0,29.21,5999.99,20.17,0.0
2026-09-08T18:29:00Z,2026-09-08T11:29:00-07:00,Brambley,16.72,16.72,14.9,89.0,1017.61,1025.13,4.26,5.04,6.0,235.0,SW,0.0,0.0,0.0,29.21,5999.99,58.67,0.0
2026-09-08T21:19:00Z,2026-09-08T14:19:00-07:00,Brambley,20.11,20.14,15.53,75.0,1017.44,1024.92,6.0,7.99,11.82,214.0,SW,0.0,0.0,0.0,29.21,5999.99,538.83,5.0
2026-09-08T23:25:00Z,2026-09-08T16:25:00-07:00,Brambley,20.89,20.91,15.64,72.0,1017.03,1024.52,3.13,5.04,12.86,237.0,WSW,0.0,0.0,0.0,29.21,5999.99,303.51,2.0
2026-09-09T01:19:00Z,2026-09-08T18:19:00-07:00,Brambley,20.22,20.21,15.22,73.0,1016.12,1023.64,2.95,2.95,12.86,241.0,WSW,0.0,0.0,0.0,29.21,5999.99,28.11,0.0
2026-09-09T06:02:00Z,2026-09-08T23:02:00-07:00,Brambley,13.0,13.0,12.38,96.0,1017.34,1024.82,0.0,0.0,12.86,251.0,WSW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
2026-09-09T11:09:00Z,2026-09-09T04:09:00-07:00,Brambley,10.5,10.5,10.35,99.0,1017.44,1024.92,0.0,0.0,0.0,252.0,WSW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
2026-09-09T15:05:00Z,2026-09-09T08:05:00-07:00,Brambley,10.72,10.72,10.57,99.0,1017.71,1025.23,0.0,0.0,0.0,228.0,SW,0.0,0.0,0.0,29.21,5999.99,36.05,0.0
2026-09-09T18:29:00Z,2026-09-09T11:29:00-07:00,Brambley,19.28,19.28,15.74,80.0,1017.54,1025.03,0.0,0.0,0.96,224.0,SW,0.0,0.0,0.0,29.21,5999.99,86.84,0.0
2026-09-09T21:04:00Z,2026-09-09T14:04:00-07:00,Brambley,20.39,20.54,16.62,79.0,1016.42,1023.94,7.39,7.99,9.91,223.0,SW,0.0,0.0,0.0,29.21,5999.99,507.6,4.0
2026-09-09T23:08:00Z,2026-09-09T16:08:00-07:00,Brambley,20.39,20.57,16.82,80.0,1015.34,1022.82,6.0,8.95,14.95,200.0,SSW,0.0,0.0,0.0,29.21,5999.99,331.05,3.0
2026-09-10T01:00:00Z,2026-09-09T18:00:00-07:00,Brambley,20.39,20.39,15.38,73.0,1014.43,1021.91,1.39,1.91,14.95,217.0,SW,0.0,0.0,0.0,29.21,5999.99,59.36,0.0
2026-09-10T05:42:00Z,2026-09-09T22:42:00-07:00,Brambley,14.5,14.5,14.03,97.0,1013.04,1020.52,0.0,0.0,14.95,223.0,SW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
2026-09-10T10:01:00Z,2026-09-10T03:01:00-07:00,Brambley,14.0,14.0,13.69,98.0,1011.14,1018.63,0.0,0.0,0.96,217.0,SW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
2026-09-10T14:11:00Z,2026-09-10T07:11:00-07:00,Brambley,14.78,14.78,14.31,97.0,1011.14,1018.63,0.0,0.0,5.04,185.0,S,0.0,0.0,0.0,29.21,5999.99,5.48,0.0
2026-09-10T17:40:00Z,2026-09-10T10:40:00-07:00,Brambley,17.28,17.28,13.79,80.0,1011.51,1019.03,3.3,5.04,10.86,210.0,SSW,0.0,0.0,0.0,29.21,5999.99,129.11,1.0
2026-09-10T20:00:00Z,2026-09-10T13:00:00-07:00,Brambley,17.28,17.28,13.21,77.0,1011.31,1018.83,5.04,6.0,13.82,215.0,SW,0.0,0.0,0.0,29.21,5999.99,396.79,3.0
2026-09-10T22:18:00Z,2026-09-10T15:18:00-07:00,Brambley,16.78,16.78,13.49,81.0,1010.63,1018.12,6.26,7.04,13.82,245.0,WSW,0.0,0.0,0.0,29.21,5999.99,233.81,2.0
2026-09-11T00:13:00Z,2026-09-10T17:13:00-07:00,Brambley,17.28,17.28,13.4,78.0,1009.52,1017.03,6.26,7.99,13.82,238.0,WSW,0.0,0.0,0.0,29.21,5999.99,154.67,1.0
2026-09-11T04:37:00Z,2026-09-10T21:37:00-07:00,Brambley,13.22,13.22,11.95,92.0,1009.31,1016.83,0.0,0.0,13.82,249.0,WSW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
2026-09-11T09:05:00Z,2026-09-11T02:05:00-07:00,Brambley,11.11,11.11,10.65,97.0,1009.04,1016.53,0.0,0.0,0.0,245.0,WSW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
2026-09-11T13:29:00Z,2026-09-11T06:29:00-07:00,Brambley,12.39,12.39,12.23,99.0,1009.04,1016.53,0.0,0.0,0.0,274.0,W,0.0,0.0,0.0,29.21,5999.99,0.06,0.0
2026-09-11T17:04:00Z,2026-09-11T10:04:00-07:00,Brambley,14.78,14.78,14.47,98.0,1009.62,1017.14,0.0,0.0,2.95,259.0,W,0.0,0.0,0.0,29.21,5999.99,149.06,1.0
2026-09-11T19:33:00Z,2026-09-11T12:33:00-07:00,Brambley,17.89,17.89,14.19,79.0,1009.52,1017.03,2.69,3.91,7.99,231.0,SW,0.0,0.0,0.0,29.21,5999.99,428.15,4.0
2026-09-11T21:52:00Z,2026-09-11T14:52:00-07:00,Brambley,17.22,17.22,13.74,80.0,1008.33,1015.82,1.74,1.91,8.95,238.0,WSW,0.0,0.0,0.0,29.21,5999.99,297.79,2.0
2026-09-11T23:33:00Z,2026-09-11T16:33:00-07:00,Brambley,16.89,16.89,12.43,75.0,1007.62,1015.14,0.35,0.96,8.95,248.0,WSW,0.0,0.0,0.0,29.21,5999.99,128.26,1.0
2026-09-12T01:27:00Z,2026-09-11T18:27:00-07:00,Brambley,16.22,16.22,12.77,80.0,1006.94,1014.43,2.17,2.95,8.95,248.0,WSW,0.0,0.0,0.0,29.21,5999.99,46.0,0.0
2026-09-12T06:05:00Z,2026-09-11T23:05:00-07:00,Brambley,12.61,12.61,11.67,94.0,1006.33,1013.82,0.0,0.0,8.95,253.0,WSW,0.0,0.0,0.0,29.21,5999.99,0.0,0.0
